day,country_code,request_types,requests
2021-10-14,US,auth,6462781.3606400006
2021-10-15,US,New Envelope,8082395.0
2021-10-15,US,RTIS,91075592.0
2021-10-15,US,Refresh,6377794.0
2021-10-15,US,auth,6165439.1488000024
2021-10-16,US,New Envelope,7600289.0
2021-10-16,US,RTIS,80202130.0
2021-10-16,US,Refresh,5039679.0
2021-10-16,US,auth,5567832.6841599988
2021-10-17,US,New Envelope,8151739.0
2021-10-17,US,RTIS,81796306.0
2021-10-17,US,Refresh,4965076.0
2021-10-17,US,auth,5866151.4521600017
2021-10-18,US,New Envelope,8385263.0
2021-10-18,US,RTIS,98714466.0
2021-10-18,US,Refresh,6743718.0
2021-10-18,US,auth,6426937.5347200073
2021-10-19,US,New Envelope,8532383.0
2021-10-19,US,RTIS,96836197.0
2021-10-19,US,Refresh,6800639.0
2021-10-19,US,auth,6524963.067520001
2021-10-20,US,New Envelope,8193241.0
2021-10-20,US,RTIS,98841796.0
2021-10-20,US,Refresh,6961338.0
2021-10-20,US,auth,6369053.2390400032
2021-10-21,US,New Envelope,8334864.0
2021-10-21,US,RTIS,101873575.0
2021-10-21,US,Refresh,6879737.0
2021-10-21,US,auth,6430681.2921600025
2021-10-22,US,New Envelope,8307093.0
2021-10-22,US,RTIS,99394611.0
2021-10-22,US,Refresh,6658292.0
2021-10-22,US,auth,6361609.4899199987
2021-10-23,US,New Envelope,8142107.0
2021-10-23,US,RTIS,83309829.0
2021-10-23,US,Refresh,5147137.0
2021-10-23,US,auth,5904322.7180800019
2021-10-24,US,New Envelope,8526030.0
2021-10-24,US,RTIS,88085875.0
2021-10-24,US,Refresh,5420793.0
2021-10-24,US,auth,6190156.963200001
2021-10-25,US,New Envelope,8822085.0
2021-10-25,US,RTIS,108146097.0
2021-10-25,US,Refresh,7105793.0
2021-10-25,US,auth,6764326.7424000073
2021-10-26,US,New Envelope,8599408.0
2021-10-26,US,RTIS,107210785.0
2021-10-26,US,Refresh,7082796.0
2021-10-26,US,auth,6631115.5635199985
2021-10-27,US,New Envelope,8411156.0
2021-10-27,US,RTIS,106281060.0
2021-10-27,US,Refresh,6924821.0
2021-10-27,US,auth,6485250.3366399994
2021-10-28,US,New Envelope,8826419.0
2021-10-28,US,RTIS,105055174.0
2021-10-28,US,Refresh,6888475.0
2021-10-28,US,auth,6714655.7113600029
2021-10-29,US,New Envelope,7971986.0
2021-10-29,US,RTIS,98237616.0
2021-10-29,US,Refresh,6604827.0
2021-10-29,US,auth,6156614.1318400018
2021-10-30,US,New Envelope,8218063.0
2021-10-30,US,RTIS,85344274.0
2021-10-30,US,Refresh,5277566.0
2021-10-30,US,auth,5979181.8867199952
2021-10-31,US,New Envelope,8418985.0
2021-10-31,US,RTIS,86354166.0
2021-10-31,US,Refresh,5204474.0
2021-10-31,US,auth,6076856.5184000079
2021-11-01,US,New Envelope,10188236.0
2021-11-01,US,RTIS,103740355.0
2021-11-01,US,Refresh,6967153.0
2021-11-01,US,auth,7514458.7718399977
2021-11-02,US,New Envelope,9077063.0
2021-11-02,US,RTIS,107507581.0
2021-11-02,US,Refresh,7300586.0
2021-11-02,US,auth,6957291.6467199968
2021-11-03,US,New Envelope,9387478.0
2021-11-03,US,RTIS,112839627.0
2021-11-03,US,Refresh,7760691.0
2021-11-03,US,auth,7245721.22432
2021-11-04,US,New Envelope,9244289.0
2021-11-04,US,RTIS,106154319.0
2021-11-04,US,Refresh,7188897.0
2021-11-04,US,auth,7026380.36416
